date,f_open,f_high,f_low,f_close,f_adj_close
2016-08-02,2152.75,2171.0,2141.5,2166.0,1958950
2016-08-03,2157.0,2158.25,2145.25,2152.25,1371176
2016-08-04,2159.25,2164.25,2154.0,2156.75,1239577
2016-08-05,2176.75,2178.5,2159.25,2159.5,1370482
2016-08-08,2175.5,2183.0,2173.25,2176.0,970557
2016-08-09,2177.5,2183.5,2173.75,2176.0,1191826
2016-08-10,2172.75,2181.5,2167.75,2178.0,1371937
2016-08-11,2181.75,2185.25,2170.0,2172.5,1326004
2016-08-12,2180.25,2184.0,2175.5,2181.75,1270055
2016-08-15,2186.0,2190.75,2180.5,2180.75,1090675
2016-08-16,2176.75,2186.25,2175.25,2186.0,1391768
2016-08-17,2179.75,2182.0,2165.5,2177.5,1702425
2016-08-18,2183.5,2184.5,2176.25,2180.75,1201115
2016-08-19,2181.75,2184.25,2172.5,2183.5,1431860
2016-08-22,2181.5,2184.5,2173.5,2181.75,1543249
2016-08-23,2185.25,2191.5,2179.25,2180.75,1125503
2016-08-24,2175.0,2187.75,2168.75,2185.75,1508048
2016-08-25,2173.5,2177.25,2167.5,2175.0,1501328
2016-08-26,2168.5,2186.75,2157.5,2174.0,2535682
2016-08-29,2179.25,2182.25,2164.5,2167.75,1245215
2016-08-30,2175.25,2181.5,2168.5,2180.0,1372345
2016-08-31,2169.5,2176.25,2159.5,2175.75,1864629
2016-09-01,2167.25,2177.25,2154.75,2169.0,1943431
2016-09-02,2178.0,2183.75,2164.25,2166.25,1700143
2016-09-06,2184.5,2186.25,2173.0,2179.25,1627643
2016-09-07,2184.5,2186.75,2177.5,2185.25,1459543
2016-09-08,2177.5,2189.25,2175.75,2184.5,2105651
2016-09-09,2122.75,2178.25,2119.75,2177.25,2073225
2016-09-12,2158.5,2162.75,2107.0,2121.75,1450133
2016-09-13,2128.75,2157.5,2119.0,2156.25,1201101
2016-09-14,2120.25,2141.25,2118.75,2131.75,661156
2016-09-15,2145.0,2151.5,2114.75,2121.75,398401
2016-09-16,2141.75,2144.25,2135.5,2143.75,2064530
2016-09-19,2133.0,2146.75,2127.75,2132.25,1527880
2016-09-20,2131.0,2143.5,2129.0,2133.75,1385876
2016-09-21,2156.25,2157.5,2126.25,2130.0,1826950
2016-09-22,2168.25,2172.75,2152.75,2156.25,1523998
2016-09-23,2158.0,2169.5,2156.0,2168.25,1448300
2016-09-26,2139.75,2159.5,2136.75,2156.25,1602771
2016-09-27,2152.75,2154.0,2132.75,2139.25,1659780
2016-09-28,2163.25,2165.25,2144.0,2152.0,1733016
2016-09-29,2148.5,2167.0,2137.25,2162.25,2306654
2016-09-30,2160.5,2168.25,2135.75,2145.75,1989690
2016-10-03,2153.25,2164.0,2146.75,2158.75,1406125
2016-10-04,2144.75,2159.75,2136.0,2153.75,2143439
2016-10-05,2153.25,2158.0,2141.0,2144.25,1369566
2016-10-06,2156.5,2157.25,2143.25,2153.25,1209239
2016-10-07,2146.5,2161.5,2138.0,2155.25,1958026
2016-10-11,2134.5,2160.75,2121.75,2159.5,2243746
2016-10-12,2131.5,2140.75,2126.25,2133.0,1483026
2016-10-13,2126.25,2132.25,2107.75,2127.75,2195134
2016-10-14,2127.0,2143.25,2122.25,2126.25,1841156
2016-10-17,2123.0,2130.0,2116.75,2126.25,1251946
2016-10-18,2132.0,2139.75,2120.25,2122.5,1139317
2016-10-19,2138.0,2142.5,2126.5,2131.5,948475
2016-10-20,2137.0,2144.5,2126.75,2137.5,1611098
2016-10-21,2134.75,2138.5,2123.25,2136.0,1409837
2016-10-24,2144.25,2149.0,2134.75,2137.0,1010790
2016-10-25,2138.0,2149.75,2135.25,2144.75,1198210
2016-10-26,2134.0,2140.0,2124.75,2135.25,1548442
2016-10-27,2123.5,2143.75,2122.5,2133.75,1795356
2016-10-28,2123.75,2135.25,2112.5,2127.25,2391182
2016-10-31,2120.0,2130.5,2114.75,2120.0,1371713
2016-11-01,2103.75,2129.5,2091.0,2123.5,2257062
2016-11-02,2092.25,2106.5,2087.25,2102.25,2013595
2016-11-03,2083.5,2098.75,2079.75,2088.25,1795490
2016-11-04,2080.0,2094.25,2078.75,2084.0,2079129
2016-11-07,2129.0,2130.75,2102.75,2106.0,1761750
